bm,bzw,zs,gxsj
b_evt_zafzgzqybwxgzyzspxkh,治安复杂关注区域（部位）相关专业知识培训、考核,0,22:07.8
b_evt_zafzgzqybwqtyfydjdjcdnr,治安复杂关注区域（部位）其他依法应当监督检查的内容,239,22:07.8
b_per_yftyxfrydtgkgrccqk,YTY信访人员动态管控个人财产情况,60,22:07.8
b_evt_zafzgzqybwzfxx,治安复杂关注区域（部位）走访信息,1650,22:07.8
b_per_yftyxfrydtgkzyshgxrjbxx,YTY信访人员动态管控主要社会关系人基本信息,102,22:07.8
b_evt_xycsjgjbdxytzgjc,【行业场所监管】酒吧等新业态整改检查,0,22:07.8
b_evt_yzjszahzfxtbqk,严重精神障碍患者风险通报情况,719,22:07.8
b_per_yftyxfrydtgkxsfswkqk,YTY信访人员动态管控线上发声稳控情况,105,22:07.8
b_evt_xycsjgylcszgjc,【行业场所监管】娱乐场所整改检查,3,22:07.8
b_per_yftyxfrydtgkgpwlswkqk,YTY信访人员动态管控购票未离市稳控情况,2,22:07.8
b_org_jyrzjdcwx,【经营日志】机动车维修,0,22:07.8
b_jcgk_dwgl_jbxx,单位管理-基本信息,2632,22:07.8
b_jcgk_dwgl_jbxx_fsxx_yy,附属信息-医院,41,22:07.8
b_per_jszahzyjgk,精神障碍患者-移交管控,15,22:07.8
b_per_yftyxfrydtgkxxsfwkqk,YTY信访人员动态管控线下上访稳控情况,88,22:07.8
b_org_cwngcszfyjc,藏污纳垢场所走访与检查,314,22:07.8
b_org_cwngcszfyjccyryxx,藏污纳垢场所走访与检查从业人员信息,180,22:07.8
b_evt_xycsjgddyzgjc,【行业场所监管】典当业整改检查,0,22:07.8
b_per_xmsfryryxxwh,刑满释放人员-人员信息维护,763357,22:07.8
b_per_yftyxfrydtgkqzqfgzzqk,YTY信访人员动态管控前置劝返工作组情况,0,22:07.8
b_zdry_ryxx_gzrz,重点人员-人员信息-工作日志,11367,22:07.8
b_org_jyrzzbhs,【经营日志】珠宝回收,0,22:07.8
b_per_xmsfryyjgk,刑满释放人员-移交管控,485,22:07.8
b_per_yftyxfrydtgkgzrz,YTY信访人员动态管控工作日志,294,22:07.8
b_org_jyrzddy,【经营日志】典当业,0,22:07.8
b_zdry_blwcn_asj,不良未成年案事件表,3354,22:07.8
b_per_xmsfryrczfrw,刑满释放人员-日常走访任务,18879,22:07.8
s_sg_dict_kind,字典类别,3476,22:07.8
b_org_jyrzwf,【经营日志】物防,0,22:07.8
b_org_jyrzksy,【经营日志】开锁业,0,22:07.8
b_zdry_blwcn_jhr,不良未成年监护人信息表,4167,22:07.8
b_zdry_blwcn_jzjyqk,不良未成年矫治教育情况表,278,22:07.8
b_zdry_blwcn_qtgx,不良未成年监护人其他关系表,7,22:07.8
b_per_xmsfrycgrygl,刑满释放人员-撤管人员管理,182226,22:07.8
b_per_jszahzdqtb,精神障碍患者-短期通报,9,22:07.8
b_evt_xycsjggzkzyzgjc,【行业场所监管】公章刻制业整改检查,0,22:07.8
b_zdry_xmsfgl,刑满释放人员管理,753419,22:07.8
b_evt_zafzgzqybw,治安复杂关注区域（部位）,5645,22:07.8
b_org_jyrzfjjshs,【经营日志】废旧金属回收,0,22:07.8
b_zdry_blwcn_zmjy,不良未成年专门教育表,315,22:07.8
b_evt_xycsjglgymszgjc,【行业场所监管】旅馆业（民宿）整改检查,6,22:07.8
b_evt_xycsjgrczfzgjc,【行业场所监管】日常走访整改检查,0,22:07.8
b_zdry_blwcn_hdcs,不良未成年活动场所,68,22:07.8
b_per_mdjfrcrw,矛盾纠纷-日常任务,221,22:07.8
b_per_jszahzrczfrw,精神障碍患者-日常走访任务,1194,22:07.8
b_evt_xyjypx,校园-教育培训,1704,22:07.8
b_loc_rymjggqycj,人员密集公共区域采集,408,22:07.8
b_per_yzblxwwcnrcj,严重不良行为未成年人采集,2789,22:07.8
b_org_jyrzyly,【经营日志】娱乐业,0,22:07.8
b_zdry_lcjy,重点人员流出羁押申请表,144,22:07.8
b_evt_yyyqafpcqk,医院（院区）安防排查情况,70,22:07.8
b_loc_rymjggqycjyyafpcqk,人员密集公共区域采集医院安防排查情况,102,22:07.8
b_org_jyrzessj,【经营日志】二手手机,0,22:07.8
b_loc_rymjggqycjrymjcsafpcqk,人员密集公共区域采集人员密集场所安防排查情况,363,22:07.8
b_evt_gdjtzxyjdyldcs,轨道交通-最小应急单元拉动测试,0,22:07.8
b_loc_rymjggqycjyyafqkzxddjcb,人员密集公共区域采集医院安防情况专项督导检查表,69,22:07.8
b_org_cwngcszfyjcamddcyryxx,藏污纳垢场所走访与检查按摩店等从业人员信息,186,22:07.8
b_evt_xycrkjksblwqkpc,校园-出入口监控设备联网情况排查,19,22:07.8
b_loc_rymjjjcszxycj,人员密集聚集场所（中小幼）采集,925,22:07.8
b_per_xfryyrydzfjdzxxflc,信访人员一人一档执法监督中心信访历程,962,22:07.8
b_org_cwngcszfyjcamddcsjcxx,藏污纳垢场所走访与检查按摩店等场所检查信息,88,22:07.8
b_evt_gdjtzxyjdypx,轨道交通-最小应急单元培训,0,22:07.8
b_org_cwngcszfyjczfxx,藏污纳垢场所走访与检查走访信息,1676,22:07.8
b_evt_gdjtdsdxjlldqkldcs,轨道交通-地上地下警力联动情况拉动测试,0,22:07.8
b_per_xfryyrydzfjdzx,信访人员一人一档执法监督中心,1547,22:07.8
s_sg_dict,字典,109648,22:07.8
b_evt_kyzcjdjc,客运站场-监督检查,1,22:07.8
b_evt_gdjtajcs,轨道交通-安检测试,0,22:07.8
b_per_yybfrygl,扬言报复人员管理,302,22:07.8
b_per_xmsfrywtgk,刑满释放人员-委托管控,89,22:07.8
b_per_jszahzzyrygl,精神障碍患者-住院人员管理,0,22:07.8
b_per_jszahzcgrygl,精神障碍患者-撤管人员管理,1859,22:07.8
b_per_mdjfrylgdbgl,矛盾纠纷-人员列管盯办管理,877,22:07.8
b_zdry_yybfgl_mdjf,扬言报复人员管理-矛盾纠纷,12470,22:07.8
b_per_mdjfjfsjgl,矛盾纠纷纠纷事件管理,6560,22:07.8
b_per_jszahzryxxwh,精神障碍患者-人员信息维护,3426,22:07.8
b_per_xmsfryfxjbtz,刑满释放人员-风险级别调整,1657,22:07.8
b_zdry_ryxx,重点人员表-特定人员-严重不良行为未成年人,2978,22:07.8
b_per_xmsfryskrygl,刑满释放人员-失控人员管理,4,22:07.8
b_per_mdjffxrygl,矛盾纠纷-风险人员管理,333,22:07.8
b_per_mdjfypafhsj,矛盾纠纷-粤平安返回数据,8781,22:07.8
b_dic_zzjgdm_qs,全省组织机构代码,11765,22:07.8
b_zdry_ryxx_mdjf,重点人员表-矛盾纠纷,12470,22:07.8
v_per_mdjfzxry,矛盾纠纷专项人员,25,22:07.8
v_per_bary,保安人员,0,22:07.8
v_per_xmsfry_st,刑满释放人员(省厅),15943,22:07.8
v_per_xdry_st,吸毒人员(省厅),45727,22:07.8
v_per_xxcyry,学校从业人员,0,22:07.8
v_per_yyjdry,扬言极端人员,0,22:07.8
v_per_jtbljhr,家庭暴力加害人,0,22:07.8
v_per_zszhjsbr_st,肇事肇祸精神病人(省厅),18707,22:07.8
v_per_dfxmdjfry,低风险矛盾纠纷人员,0,22:07.8
v_per_cdryyjdry_st,重点人扬言极端人员(省厅),0,22:07.8
v_per_zygzry,在粤关注人员,0,22:07.8
v_per_sfry_st,涉访人员(省厅),8962,22:07.8
v_per_scry,涉残人员,0,22:07.8
v_per_sqfxyhry_st,涉枪风险隐患人员（省厅）,4024,22:07.8
v_per_mdjfry_st,矛盾纠纷人员(省厅),18417,22:07.8
v_per_jsjzry,监视居住人员,0,22:07.8
v_per_qbhsry,取保候审人员,0,22:07.8
v_per_sbry_st,涉爆人员(省厅),8809,22:07.8
v_per_gzxgry,贵州协管人员,0,22:07.8
v_per_sqry_st,涉枪人员(省厅),1610,22:07.8
v_per_dqqkry_st,盗窃前科人员(省厅),18922,22:07.8
v_per_zfxmdjfry,中风险矛盾纠纷人员,61300,22:07.8
v_per_yblwcnrtxtcr,与不良未成年人同行同乘人,62,22:07.8
v_per_ycblxwwcnr_st,严重不良行为未成年人(省厅),3982,22:07.8
v_per_sqbldry,涉枪爆落地人员,588,22:07.8
v_per_stry_st,涉退人员(省厅),7240,22:07.8
v_per_ylcscyry,娱乐场所从业人员,2985,22:07.8
v_per_gfxmdjfry,高风险矛盾纠纷人员,14,22:07.8
v_org_ksy,开锁业,0,22:07.8
v_org_jdwl,寄递物流,0,22:07.8
v_org_lgy,旅馆业,0,22:07.8
v_org_xx,学校,0,22:07.8
v_org_czw,出租屋,40187,22:07.8
v_org_yz,印章,0,22:07.8
v_org_ddy,典当业,0,22:07.8
v_org_jyz,加油站,213,22:07.8
v_org_ylcs,娱乐场所,51,22:07.8
v_org_yy,医院,1,22:07.8
v_org_fjjshsy,废旧金属回收业,4,22:07.8
v_org_jdcwxy,机动车维修业,471,22:07.8
v_org_jyzbsphsjgy,金银珠宝饰品回收加工业,1,22:07.8
v_org_jhy,旧货业,0,22:07.8
v_org_dxhdcs,大型活动场所,0,22:07.8
v_org_zaglxy,治安管理行业,455,22:07.8
v_org_szrzdw,时租日租单位,234,22:07.8
v_org_rymjggqy,人员密集公共区域,0,22:07.8
v_org_jbcs,酒吧场所,2,22:07.8
v_org_amcs,按摩场所,7,22:07.8
v_per_blxwwcnr,不良行为未成年人,3982,22:07.8
v_per_xdry,吸毒人员,45727,22:07.8
v_per_dqqkry,盗窃前科人员,18922,22:07.8
v_per_jszahz,精神障碍患者,18707,22:07.8
v_per_sbry,涉爆人员,8809,22:07.8
v_per_sqry,涉枪人员,4024,22:07.8
v_per_stry,涉退人员,7240,22:07.8
v_per_sfry,涉访人员,8962,22:07.8
v_per_xmsfry,刑满释放人员,15943,22:07.8
b_sqry_xgnmk_mdjf_dsr,,12470,22:07.8
v_dxpt_mdjf_transfer_monitor,,1016,22:07.8
v_per_yzblxwwcnr,,2366,22:07.8
zzzz_hj,合计,6206298,22:07.8
